,User,Skills
0,0,"['people', 'management', 'skills,', 'fmcg', 'sales,', 'retail', 'sales,', 'marketing,', 'retail', 'merchandising,', 'store', 'merchandising,', 'market', 'research,', 'marketing', 'management,stores,retail', 'marketing,customer', 'marketing,market', 'development,customer', 'service']"
1,1,"['html,html5,css,css3,photoshop,j', 'query,bootstrap,wordpress,open-cart,mis', 'excel,', 'computer', 'operater', 'it', 'skills', 'details', 'jquery,ui', 'development,javascript,dreamweaver,responsive', 'web', 'design,user', 'interface', 'designing,web', 'designing,web', 'development,web', 'technologies,opencart']"
2,2,"['cakephp,wordpress,c,c++,core', 'php,html,javascript,mysql,oracle', 'it', 'skills', 'details', 'wordpress', 'cms,jquery,ajax,web', 'development,yii,web', 'technologies,netbeans,core', 'java,oops']"
3,3,"['ui', 'development,', 'ui', 'developer,', 'html,', 'asp.net,', 'c#.net,', 'sql', 'server,', 'jquery,,wcf,ssrs,ssis,microsoft', 'visual', 'studio', '2014,angular', 'js', 'it', 'skills', 'details', 'visual', 'c#,javascript,web', 'services,web', 'application', 'development,web', 'designing,web', 'ui,mvc,web', 'technologies,ms', 'sql', 'server,microsoft', 'technologies']"
4,4,"['asp.net,', 'c#.net,', 'sql', 'server,', 'linq,', 'asp.net', 'mvc,', 'ajax,', 'jquery,', 'json,', 'entity', 'framework,', 'it', 'skills', 'details', 'ms', 'sql', 'server,ado.net,html,sql', 'azure,.net', 'framework,windows', 'application,microsoft', 'azure,visual', 'studio,software', 'developmentasp', '.net', 'mvc', 'developerasp.net', 'keyskills:', '.net,asp.net', 'mvc,c#,sql,ado.net', 'keyskills:', 'c#.net,asp.net,sql', 'server,jquery,html,ajax,crystal', 'report,javascript,html,css,json,rational', 'rose,linq', 'keyskills:', 'asp.net', 'mvc,c#,ado.net,sql', 'server,javascript,jquery,html,css,entity', 'framework,bootstrap,', 'ms', 'office', '2013,vs', '...view', 'more', '2013,sql', 'server', '2008', 'keyskills:', 'asp.net', ',c#,javascript,angularjs,', 'sql', 'server,', 'mvc', 'framework,', 'keyskills:', 'software,', '.net,', 'asp.net,', 'c#.net,', 'sql', 'server,', 'asp.net', 'mvc,', 'angularjs,', 'ionic', 'framework,', 'keyskills:', '.net', 'framework,', 'c#,', 'asp.net,', 'sql', 'server,', 'entity', 'framework,', 'jquery,', 'html,', 'css,', 'javascript,', 'css3,', 'html5', 'keyskills:', 'asp.net', 'mvc,', 'c#,', 'linq,', 'dapper,', 'sql', 'server,', 'json,', 'ajax,', 'javascript,', 'jquery,', 'basics', 'in', 'angular.js,', 'web', 'services,', '...view', 'more', 'api,', 'payment', 'processing,,', '.net', 'framework', 'keyskills:', 'javascript,asp.net', 'mvc,css,entity', 'framework,sql', 'server,ajax,html,jquery', 'keyskills:', 'c#,', 'asp.net,', 'sql', 'server,']"
5,5,"['c,', 'bootstrap', ',', 'ado.net.javascript', ',css', ',', 'html,', 'sql', 'server,c#', 'asp.net,bootstrap,ado.net.javascript,css,html,sql', 'server', 'it', 'skills', 'details', 'c#.net,windows', 'forms,windows', 'application,user', 'controls,software', 'development,software', 'engineering,wcf,web', 'application,jquery,project', 'server1.6', 'year', 'experience', 'in', 'software', 'engineer', 'in', 'asp.net', 'technologyasp.netc#ado.netcbootstrapsql', 'serverjavascript', 'keyskills:', 'asp.net,ado.net,', 'c#,', 'sql,', ',mysql,html,', 'javascript,css,', 'mvc', '4,', 'linq,,', 'xml,', 'data', 'formeting,', 'data', 'mining,', 'data', '...view', 'more', 'analyst,', 'microsoft', 'excel,', 'microsoft', 'office', 'keyskills:', 'c#,ado.net,asp.net,javascript,ajax,grid', 'view,', 'mvc,sql', 'server', 'etc.,', 'c#,', 'asp.net,', 'ado.net', 'keyskills:', 'asp.net,ado.net,', 'html,css,java', 'script,c#', 'with', '.net,ms-sql', 'server', '2008,', 'c#', 'with', 'asp.net', 'keyskills:', 'asp.net,', 'c#.net,', 'sql', 'server,', 'javascript,', 'html,', 'software', 'developer,c#.net,sql', 'server,javascript,html,software', '...view', 'more', 'developer,', 'asp.net,', 'c#,', 'css', 'keyskills:', 'asp.net', 'mvc,', 'linq,', 'angularjs,', 'xml,', 'json,', 'ado.net,', 'ajax,', 'wcf', 'services,', 'sql', 'server,', 'html5,', 'javascript,', '...view', 'more', 'winforms,', 'dot', 'net', 'developer,entity', 'framework.,', 'asp.net,', 'ado.net', 'keyskills:', 'c#,asp.net,sql', 'server2008,css,', 'javascript,', 'keyskills:', 'asp.net,', 'c#.net,', 'html,', 'css,', 'keyskills:', 'c#,', 'asp.net,', 'asp.net', 'mvc,sql', 'server,', 'linq,jquery', 'keyskills:', 'asp.net', 'mvc,', 'mysql,', 'javascript,', 'ajax,', 'linq,', 'wcf', 'services,,', 'sql', 'server', 'keyskills:', 'c#,', 'asp.net,', 'mvc,', 'jquery,', 'javascript,', 'json,', 'linq,', 'sql,', 'entity', 'framework,', 'wcf-', 'restful,', 'sql', 'server,', 'asp.net', 'web', '...view', 'more', 'api,', 'angularjs', '1.3']"
6,6,"['core', 'php,', 'mysql,', 'javascript,', 'wordpress,', 'jquery,', 'json,', 'ajax,cake', 'php,', 'codeigniter,', 'angular', 'js', 'it', 'skills', 'details', 'wordpress', 'cms,html,web', 'development']"
7,7,"['wordpress', 'cms,theme', 'customization,php,core', 'php,ajax,jquery,html5,css,joomla,wordpress,mysql,html,wamp,jquery,dreamweaver,cakephp', 'it', 'skills', 'details', 'bootstrap']"
8,8,"['m.c.a', 'with', 'excellent', 'knowledge', 'with', 'php', ',cakephp', ',', 'joomla', ',wordpress,drupal,opencart.magento', ',', 'prestashop', '1.6', 'it', 'skills', 'details', 'core', 'php,zend', 'framework,mysql,javascript,html,css']"
9,9,"['team', 'management,team', 'handling,team', 'building,telemarketing,corporate', 'sales,channel', 'partners', 'management,channel', 'management,channel', 'development,direct', 'sales', 'business', 'development,channel', 'sales', 'management,key', 'account', 'management,territory', 'sales', 'management,distribution', 'channel', 'management,dealer', 'management,sales', 'planning,postpaid', 'sales,appoint,sme', 'sales']"
